ツイートID,ツイート時刻,ツイート内容,いいね数,リツイート数,ID,ユーザID,アカウント名,自己紹介文,フォロー数,フォロワー数,アカウント作成日時,自分がフォローしているか？,アイコン画像URL,ヘッダー画像URL,WEBサイト
1493807832420216832,2022-02-16_13:41:55,@yullie_eilluy @uruharushia 可哀そうなバチャ豚。そんな泣き顔のまま、まふまふの名字を授かった潤羽るしあにお金を搾られながら生きていくのね,0,0,1493072359448014851,rOeNZ9BsAmohbxy,藤田隼士,あーちゃん好き,3,0,2022-02-14_12:59:43,False,http://pbs.twimg.com/profile_images/1493072836751421442/GWaeDImY_normal.jpg,,
1493807774706597889,2022-02-16_13:41:41,2月18日（金）公開『君が落とした青空』特別企画　「きみあおTV」第二弾！松田元太×主題歌・まふまふ　中編 https://t.co/FxWS7n6qv3 @YouTubeより,0,0,1573039980,_419_gm,❤︎,君を愛する為に 僕は生まれてきたよ,11,0,2013-07-07_00:42:22,False,http://pbs.twimg.com/profile_images/956177472013217794/Bta_BJPG_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,
1493807764501839874,2022-02-16_13:41:39,RT @kusahara_yoisho: まふまふのしょうたいはまさきふじもとだった,0,1,1131026166935052288,mfujim0315,ふじもん子,クズ男クズ女にお灸を据える啓蒙活動始めました。,108,193,2019-05-22_11:37:06,False,http://pbs.twimg.com/profile_images/1472160859606904832/wwRm20Dt_normal.jpg,,
1493807753495969794,2022-02-16_13:41:36,2月18日（金）公開『君が落とした青空』特別企画　「きみあおTV」第二弾！松田元太×主題歌・まふまふ　中編 https://t.co/hrI3GrJIuD @YouTubeより,0,0,717205377859919872,GM_0419_,み🐶☂️,あなたが笑うとただ嬉しい こんな単純に夜は輝く,54,2,2016-04-05_13:21:01,False,http://pbs.twimg.com/profile_images/1489820066472693764/5KCuJmtZ_normal.jpg,,https://t.co/wMtE8j3WTL
1493807705869668354,2022-02-16_13:41:25,2月18日（金）公開『君が落とした青空』特別企画　「きみあおTV」第二弾！松田元太×主題歌・まふまふ　前編 https://t.co/3EjXS8msfb @YouTubeより,0,0,1573039980,_419_gm,❤︎,君を愛する為に 僕は生まれてきたよ,11,0,2013-07-07_00:42:22,False,http://pbs.twimg.com/profile_images/956177472013217794/Bta_BJPG_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,
1493807683652440064,2022-02-16_13:41:20,2月18日（金）公開『君が落とした青空』特別企画　「きみあおTV」第二弾！松田元太×主題歌・まふまふ　前編 https://t.co/4lQWCDktKq @YouTubeより,0,0,717205377859919872,GM_0419_,み🐶☂️,あなたが笑うとただ嬉しい こんな単純に夜は輝く,54,2,2016-04-05_13:21:01,False,http://pbs.twimg.com/profile_images/1489820066472693764/5KCuJmtZ_normal.jpg,,https://t.co/wMtE8j3WTL
1493807582984556544,2022-02-16_13:40:56,"RT @uni_nandemoya: 3月23日発売
「まふまふ トリビュートアルバム 〜転生〜」
参加アーティストが追加発表されました！

＜ボーカリスト＞
西川貴教
不破湊
まぬんちゃん

＜編曲＞
かいりきベア
１５０Ｐ
宇都圭輝
AtRバンド
まふまふバンド

収録曲も…",0,8229,929729377444667393,Jn2d3CBY,マスユニの本体,奇人変人魑魅魍魎 ゲーム/酒/タバコ/など,213,178,2017-11-13_00:15:31,False,http://pbs.twimg.com/profile_images/1319377019331768322/reUKSAEc_normal.jpg,,
1493807560251432962,2022-02-16_13:40:50,#nowplaying 病名は愛だった＠歌ってみた【まふまふ】 https://t.co/3nK6GZa1Ou @NicoBox_App から,0,0,1245479561652924416,uni_yumachan,ゆーま；,"𝓨𝓸𝓾 𝓪𝓻𝓮 𝓽𝓱𝓮 𝓻𝓮𝓪𝓼𝓸𝓷 𝓘 𝓪𝓶 𝓪𝓵𝓲𝓿𝓮 ... /
icon→ましろちゃん /
好きなことを好きなように好きして生きてます(*´ ³ `)ﾉ♪",99,83,2020-04-02_07:34:14,False,http://pbs.twimg.com/profile_images/1410073682181967874/v6f_2-zo_normal.jpg,,https://t.co/p2yj8J4hFJ
1493807526114041860,2022-02-16_13:40:42,RT @moyashi_yukarin: んほぉぉぉぉ！！！イクっ！イクっ！潤羽るしあ32歳！！バチャ豚の前でまふまふにぶち犯されてアクメキメるぞぉぉお！！見てろよふぁんでっど！フッフッフッフ！！,0,53,1399473190070484993,hcf_777,処〇狩りマスター,可愛い息子→@ninzin_1021,133,351,2021-06-01_06:09:53,False,http://pbs.twimg.com/profile_images/1493787636724469764/T5vxyLta_normal.jpg,,
1493807368504815623,2022-02-16_13:40:04,"RT @TL2nd: まふまふ「るしあ！中に出すぞ！」ビュルル

～数日後～

るしあ「デキちゃった♡」

まふまふ「チッ、、、、、」ボゴォ（腹を殴る

まふまふ「これが、”命に嫌われてる”だぁぁぁぁ！！！！！」",0,3867,1399473190070484993,hcf_777,処〇狩りマスター,可愛い息子→@ninzin_1021,133,351,2021-06-01_06:09:53,False,http://pbs.twimg.com/profile_images/1493787636724469764/T5vxyLta_normal.jpg,,
